Color ,Vichada,Redes,Promedio,Horas_acad,Hojarasca,Horas_dormir,Matematica,PAPA,Nicaragua,Horas_internet,Casa_univer,Transporte,PAPA2,Office,Trabajo,Carrera
Azul,P. Carreño,4,"4,2",48,T. Carrasquilla,49,"3,5","3,9",S. Domingo,28,7,Otro,"3,6",3,Si,No
Azul,Mitú,1,"3,8",10,T. Carrasquilla,60,5,"3,7",S. Domingo,1,45,Urbano,"3,5","3,5",No,No
Azul,Mitú,3,"3,8",28,GGM,24,5,"3,9",Managua,26,80,Urbano,4,3,Si,Si
Rojo,Mitú,2,"4,7",20,,48,"4,5","4,7",,12,30,Urbano,"3,7","3,5",Si,Si
Amarillo,P. Carreño,6,"3,6",40,GGM,42,"4,7","3,7",S. Domingo,40,40,Urbano,"3,5",3,No,No
Verde,P. Carreño,1,"3,4",20,T. Carrasquilla,42,4,"3,4",Managua,5,20,Bicicleta,"3,4",4,Si,Si
Morado,Florencia,3,"2,9",4,R. Pombo,40,"3,8","2,74",Managua,"0,5",90,Urbano,"3,6",2,Si,Si
Vinotinto,Florencia,3,"3,5",10,GGM,35,5,"3,4",,7,22,Bicicleta,4,3,No,Si
Verde,P. Carreño,4,"3,5",10,T. Carrasquilla,38,"4,8","3,3",Managua,11,15,Otro,"3,8","2,5",No,No
Azul,P. Carreño,3,4,11,T. Carrasquilla,36,5,"3,8",S. Domingo,36,45,Bicicleta,"3,7","2,5",Si,Si
Rojo,P. Carreño,2,"3,9",50,T. Carrasquilla,56,5,"3,8",Managua,10,20,Otro,"3,8",4,Si,No
Morado,Mitú,4,"3,8",1,T. Carrasquilla,8,"3,5","3,4",S. José,4,10,Otro,"3,8",4,Si,Si
Verde,Florencia,4,4,24,GGM,50,"3,5","3,9",Managua,15,60,Urbano,"3,4",3,No,No
Rojo,P. Carreño,4,"4,1",16,T. Carrasquilla,42,"4,3",4,,90,15,Bicicleta,"3,7",3,Si,Si
Azul,P. Carreño,2,"3,4",5,T. Carrasquilla,35,4,"3,3",Managua,12,40,Urbano,"3,6",4,Si,No
Rojo,P. Carreño,3,"3,3",8,,49,4,"3,2",Managua,15,35,Moto,4,4,Si,No
Azul,Mitú,4,4,28,R. Pombo,56,4,"3,8",S. Domingo,21,35,Urbano,"3,3",2,No,Si
Verde,Mitú,2,"3,6",6,GGM,40,5,3,,14,30,Bicicleta,"3,8",3,Si,No
Morado,P. Carreño,4,"3,5",18,R. Pombo,46,"3,8","3,4",,15,20,Bicicleta,"3,5",3,No,No
Celeste,P. Carreño,7,4,4,,30,"4,5","3,8",Managua,80,20,Urbano,"3,9","4,5",Si,No
Azul,P. Carreño,5,"3,7",11,GGM,48,"4,5","3,7",S. José,6,30,Urbano,4,3,Si,No
Azul,Mitú,10,"3,6","7,5",T. Carrasquilla,60,"2,1","3,5",S. José,28,50,Urbano,"3,4",1,No,Si
Azul,Inírida,3,"3,6",5,T. Carrasquilla,44,5,"3,1",Managua,21,25,Urbano,"3,6",4,Si,No
Rojo,Inírida,3,"3,3",10,T. Carrasquilla,42,5,"3,1",Managua,35,10,Otro,"3,5",2,No,Si
Azul,P. Carreño,1,"3,5",4,FGL,40,"4,5","3,3",,18,60,Urbano,"3,6","3,5",Si,Si
Azul,Florencia,3,"3,7","1,4",R. Pombo,56,3,"3,8",Managua,24,17,Otro,"3,5",3,Si,No
Azul,Mitú,3,"3,5",4,GGM,42,"4,1","3,1",Managua,21,30,Urbano,"3,3",2,No,No
Verde,P. Carreño,4,"3,7",20,,35,"3,8","3,7",Managua,20,50,Urbano,4,3,Si,No
Morado,P. Carreño,4,"3,6",7,T. Carrasquilla,42,5,"3,4",Managua,21,45,Moto,"3,9",2,Si,No
Rojo,Mitú,3,"3,6",8,T. Carrasquilla,36,"3,5","3,5",S. Domingo,14,60,Urbano,"3,8",2,No,No
Morado,P. Carreño,1,"3,7",30,,45,5,"3,4",Managua,6,60,Urbano,4,3,No,Si
Púrpura,Mitú,3,"3,8",21,R. Pombo,49,5,"3,7",Managua,14,45,Urbano,4,4,No,Si
Morado,Mitú,3,"3,8",10,FGL,28,4,"3,5",Managua,10,15,Otro,"3,8","2,5",Si,Si
